FILE_NAME|INFOBIP_FILE_COUNT|CDR_LOAD_DATE|DB_FILE_COUNT|DIFFERENCES
15102024_6280|46368|2024-10-15 12:38:02|46368|0
15102024_6282|41970|2024-10-15 12:47:02|41970|0
15102024_6284|23150|2024-10-15 12:53:01|23150|0
15102024_6286|23824|2024-10-15 13:03:01|23824|0
15102024_6288|47010|2024-10-15 13:13:02|47010|0
15102024_6290|51761|2024-10-15 13:23:02|51761|0
15102024_6292|68822|2024-10-15 13:31:03|68822|0
15102024_6294|50944|2024-10-15 13:41:02|50944|0
15102024_6297|47834|2024-10-15 13:50:02|47834|0
15102024_6299|29421|2024-10-15 13:57:02|29421|0
15102024_6301|35775|2024-10-15 14:07:02|35775|0
15102024_6303|60462|2024-10-15 14:17:03|60462|0
15102024_6305|40871|2024-10-15 14:26:02|40871|0
15102024_6307|39643|2024-10-15 14:36:02|39643|0
15102024_6309|41488|2024-10-15 14:45:02|41488|0
15102024_6312|36645|2024-10-15 14:56:02|36645|0
15102024_6314|20004|2024-10-15 15:02:02|20004|0
15102024_6316|26892|2024-10-15 15:10:02|26892|0
15102024_6319|20540|2024-10-15 15:16:02|20540|0
15102024_6321|30184|2024-10-15 15:23:01|30184|0
15102024_6322|26390|2024-10-15 15:32:02|26390|0
15102024_6325|30776|2024-10-15 15:42:01|30776|0
15102024_6328|26803|2024-10-15 15:52:02|26803|0
15102024_6330|33130|2024-10-15 16:01:02|33130|0
15102024_6332|33681|2024-10-15 16:11:01|33681|0
15102024_6335|32907|2024-10-15 16:21:02|32907|0
15102024_6337|42499|2024-10-15 16:31:02|42499|0
15102024_6339|39015|2024-10-15 16:40:02|39015|0
15102024_6341|32860|2024-10-15 16:50:02|32860|0
15102024_6344|50914|2024-10-15 17:00:02|50914|0
15102024_6346|65977|2024-10-15 17:11:03|65977|0
15102024_6348|53996|2024-10-15 17:20:03|53996|0
15102024_6350|57767|2024-10-15 17:30:02|57767|0
15102024_6352|87997|2024-10-15 17:40:03|87997|0
15102024_6355|53993|2024-10-15 17:49:03|53993|0
15102024_6357|31551|2024-10-15 17:59:02|31551|0
15102024_6359|28864|2024-10-15 18:08:01|28864|0
15102024_6362|47472|2024-10-15 18:18:02|47472|0
15102024_6364|73985|2024-10-15 18:31:03|73985|0
15102024_6366|83323|2024-10-15 18:41:03|83323|0
15102024_6367|22436|2024-10-15 18:44:01|22436|0
15102024_6369|28902|2024-10-15 18:48:02|28902|0
15102024_6371|49747|2024-10-15 18:58:02|49747|0
15102024_6373|44402|2024-10-15 19:08:02|44402|0
15102024_6375|35911|2024-10-15 19:18:02|35911|0
15102024_6377|36604|2024-10-15 19:27:02|36604|0
15102024_6379|50768|2024-10-15 19:37:02|50768|0
15102024_6381|38539|2024-10-15 19:47:02|38539|0
15102024_6383|35637|2024-10-15 19:57:02|35637|0
15102024_6385|20236|2024-10-15 20:07:01|20236|0
15102024_6387|20335|2024-10-15 20:18:02|20335|0
15102024_6388|622|2024-10-15 20:18:02|622|0
15102024_6391|28113|2024-10-15 20:28:02|28113|0
15102024_6392|4587|2024-10-15 20:30:02|4587|0
15102024_6394|85274|2024-10-15 20:40:02|85274|0
15102024_6396|49825|2024-10-15 20:50:02|49825|0
15102024_6398|50602|2024-10-15 20:58:02|50602|0
15102024_6400|40778|2024-10-15 21:08:02|40778|0
15102024_6402|50902|2024-10-15 21:18:02|50902|0
15102024_6404|33210|2024-10-15 21:28:02|33210|0
15102024_6406|65386|2024-10-15 21:38:02|65386|0
15102024_6408|56111|2024-10-15 21:48:02|56111|0
15102024_6410|19902|2024-10-15 21:59:01|19902|0
15102024_6412|51912|2024-10-15 22:10:03|51912|0
15102024_6415|40892|2024-10-15 22:21:02|40892|0
15102024_6416|30599|2024-10-15 22:30:02|30599|0
15102024_6419|23849|2024-10-15 22:40:02|23849|0
15102024_6421|27005|2024-10-15 22:50:02|27005|0
15102024_6423|24471|2024-10-15 22:59:01|24471|0
15102024_6425|28950|2024-10-15 23:09:02|28950|0
15102024_6427|23728|2024-10-15 23:19:02|23728|0
15102024_6429|22081|2024-10-15 23:29:01|22081|0
15102024_6431|26025|2024-10-15 23:39:01|26025|0
15102024_6433|23450|2024-10-15 23:48:01|23450|0
15102024_6435|18234|2024-10-15 23:57:02|18234|0
15102024_6437|17686|2024-10-16 00:07:01|17686|0
15102024_6439|14197|2024-10-16 00:16:02|14197|0
15102024_6441|6454|2024-10-16 00:26:01|6454|0
15102024_6443|1705|2024-10-16 00:31:01|1705|0
15102024_6115|7769|2024-10-15 00:38:02|7769|0
15102024_6117|645|2024-10-15 00:38:02|645|0
